created_at,entry_id,field1
2024-11-17 02:00:57 UTC,30,0
2024-11-17 02:01:18 UTC,31,0
2024-11-17 02:01:39 UTC,32,0
2024-11-17 02:02:00 UTC,33,0
2024-11-17 02:02:20 UTC,34,0
2024-11-17 02:02:41 UTC,35,47
2024-11-17 02:03:02 UTC,36,90
2024-11-17 02:03:23 UTC,37,0
2024-11-17 15:17:04 UTC,38,0
2024-11-17 15:17:25 UTC,39,0
2024-11-17 15:17:46 UTC,40,0
2024-11-17 15:18:07 UTC,41,0
2024-11-17 15:21:54 UTC,42,0
2024-11-17 15:22:14 UTC,43,37
2024-11-17 15:22:35 UTC,44,0
2024-11-17 15:22:56 UTC,45,1
2024-11-17 15:23:17 UTC,46,0
2024-11-17 15:23:38 UTC,47,0
2024-11-17 15:23:59 UTC,48,0
2024-11-17 15:24:20 UTC,49,0
2024-11-17 15:24:40 UTC,50,0
2024-11-17 15:25:01 UTC,51,40
2024-11-17 15:25:22 UTC,52,0
2024-11-17 15:25:43 UTC,53,0
2024-11-17 15:35:02 UTC,54,0
2024-11-17 15:35:23 UTC,55,0
2024-11-17 15:35:44 UTC,56,0
2024-11-17 15:36:05 UTC,57,0
2024-11-17 15:36:25 UTC,58,0
2024-11-17 15:36:46 UTC,59,0
2024-11-17 15:37:07 UTC,60,0
2024-11-17 15:37:28 UTC,61,0
2024-11-17 15:40:54 UTC,62,0
2024-11-17 15:41:15 UTC,63,0
2024-11-17 15:41:36 UTC,64,0
2024-11-17 15:41:56 UTC,65,0
2024-11-17 15:42:17 UTC,66,62
2024-11-17 15:42:38 UTC,67,62
2024-11-17 15:42:59 UTC,68,100
2024-11-17 15:43:19 UTC,69,94
2024-11-17 15:43:40 UTC,70,94
2024-11-17 15:44:01 UTC,71,0
2024-11-17 15:44:22 UTC,72,0
2024-11-17 15:44:43 UTC,73,0
2024-11-17 15:45:03 UTC,74,0
2024-11-17 15:45:24 UTC,75,0
2024-11-17 15:45:45 UTC,76,0
2024-11-17 15:46:06 UTC,77,0
2024-11-17 15:46:27 UTC,78,97
2024-11-17 15:46:48 UTC,79,97
2024-11-17 15:47:08 UTC,80,0
2024-11-17 15:47:29 UTC,81,80
2024-11-17 15:47:50 UTC,82,100
2024-11-17 15:48:11 UTC,83,0
2024-11-17 15:48:32 UTC,84,0
2024-11-17 15:48:53 UTC,85,0
2024-11-17 15:49:13 UTC,86,100
2024-11-17 15:49:34 UTC,87,58
2024-11-17 15:49:55 UTC,88,0
2024-11-17 15:50:16 UTC,89,0
2024-11-17 15:50:37 UTC,90,0
2024-11-17 15:50:58 UTC,91,0
2024-11-17 15:51:19 UTC,92,0
2024-11-17 15:51:40 UTC,93,0
2024-11-17 15:52:01 UTC,94,0
2024-11-17 15:52:22 UTC,95,0
2024-11-17 15:52:42 UTC,96,0
2024-11-17 15:53:03 UTC,97,0
2024-11-17 15:53:25 UTC,98,0
2024-11-17 15:53:45 UTC,99,0
2024-11-17 15:54:06 UTC,100,0
2024-11-17 15:54:27 UTC,101,0
2024-11-17 15:54:48 UTC,102,0
2024-11-17 15:55:09 UTC,103,0
2024-11-17 15:55:30 UTC,104,0
2024-11-17 15:55:51 UTC,105,0
2024-11-17 15:56:12 UTC,106,0
2024-11-17 15:56:33 UTC,107,0
2024-11-17 15:56:54 UTC,108,0
2024-11-17 15:57:15 UTC,109,0
2024-11-17 15:57:36 UTC,110,0
2024-11-17 15:57:57 UTC,111,0
2024-11-17 15:58:18 UTC,112,0
2024-11-17 15:58:39 UTC,113,0
2024-11-17 15:59:00 UTC,114,0
2024-11-17 16:15:54 UTC,115,100
2024-11-17 16:16:15 UTC,116,0
2024-11-17 16:16:36 UTC,117,0
2024-11-17 16:16:56 UTC,118,0
2024-11-17 16:17:17 UTC,119,0
2024-11-17 16:17:38 UTC,120,0
2024-11-17 16:17:59 UTC,121,0
2024-11-17 16:18:20 UTC,122,0
2024-11-17 16:18:41 UTC,123,0
2024-11-17 16:19:02 UTC,124,0
2024-11-17 16:19:23 UTC,125,0
2024-11-17 16:19:43 UTC,126,0
2024-11-17 16:20:04 UTC,127,0
2024-11-17 16:20:25 UTC,128,0
2024-11-17 16:20:46 UTC,129,0
